Renewable energy-All-purpose,Renewable energy-Biomass,Renewable energy-Geothermal,Renewable energy-Photovoltaic & solar,Renewable energy-Wave & Tidal,Renewable energy-Wind,id
0,0,0,1,0,0,9228722
0,0,0,1,0,0,9228761
0,0,0,1,0,0,9230709
0,0,0,1,0,0,9230747
0,0,0,1,0,0,9231061
0,0,0,1,0,0,9231125
0,0,0,1,0,0,9231128
0,0,0,1,0,0,9231129
0,0,0,1,0,0,9231130
0,0,0,1,0,0,9231132
0,0,0,1,0,0,9231136
0,0,0,1,0,0,9231139
0,0,0,1,0,0,9231140
0,0,0,1,0,0,9231142
0,0,0,1,0,0,9231143
0,0,0,1,0,0,9231145
0,0,0,1,0,0,9231147
1,0,0,0,0,0,9231267
0,0,0,1,0,0,9231335
1,0,1,1,0,0,9231405
0,0,0,1,0,0,9231422
0,0,0,1,0,0,9231437
0,0,0,1,0,0,9231518
0,0,0,1,0,0,9232290
1,0,0,0,0,0,9233616
0,0,0,1,0,0,9233746
0,0,0,1,0,0,9233930
0,0,0,1,0,0,9234119
0,0,1,0,0,0,9234125
0,1,0,0,0,0,9234140
0,1,0,0,0,0,9234167
0,1,0,0,0,0,9234216
0,1,0,0,0,0,9234221
0,1,0,0,0,0,9234222
0,1,0,0,0,0,9234224
1,0,0,0,0,0,9234501
0,0,1,0,0,0,9234507
0,0,0,1,0,0,9234680
0,0,0,1,0,0,9234681
0,0,0,1,0,0,9234843
0,0,0,1,0,0,9234933
0,0,0,1,0,0,9234934
0,0,0,1,0,0,9235236
0,0,0,1,0,0,9236194
0,0,0,1,0,0,9236195
0,0,0,1,0,0,9236503
0,0,0,1,0,0,9236505
0,0,0,1,0,0,9236506
0,0,0,1,0,0,9236509
0,0,0,1,0,0,9236513
0,0,0,1,0,0,9236515
0,0,0,1,0,0,9236516
0,0,0,1,0,0,9236517
0,0,0,1,0,0,9236553
0,0,0,1,0,0,9236637
0,0,0,1,0,0,9236638
0,0,0,0,1,0,9236646
0,0,0,1,0,0,9236751
0,0,0,1,0,0,9238413
0,0,0,1,0,0,9238509
0,1,0,0,0,0,9238583
0,0,0,1,0,0,9238598
0,1,0,0,0,0,9238779
0,1,0,0,0,0,9238783
0,1,0,0,0,0,9238792
0,1,0,0,0,0,9238827
0,1,0,0,0,0,9238845
0,0,1,0,0,0,9238851
0,0,0,1,0,0,9239171
0,0,0,1,0,0,9239272
0,0,0,1,0,0,9239444
0,0,0,1,0,0,9240112
0,0,0,1,0,0,9240338
0,0,0,1,0,0,9240499
0,0,0,1,0,0,9240500
