,0
193,"Intermolecular, Inc."
194,CITY UNIVERSITY OF HONG KONG
195,GENERAL ELECTRIC COMPANY
196,Corning Incorporated
197,Seiko Epson Corporation
198,Mississippi State University Research and Technology Corporation
199,Bigelow Aerospace
200,University of Kentucky Research Foundation
201,CoolEarth Solar
202,"Clean Power Research, L.L.C."
203,"ALF OPERATING PARTNERS, LTD."
204,Merck Patent GmbH
205,Nokia Technologies Oy
206,Bridgestone Corporation
207,Richard H. Sherratt and Susan B. Sherratt Revocable Trust Fund
208,"Delta Electronics, Inc."
209,Linne Industries LLC
210,"Tapwave, Inc."
211,Bi-Modal Corporation
212,Mitsubishi Metal Corporation
213,"Lawrence Livermore National Security, LLC"
214,"Battelle Energy Alliance, LLC"
215,Nalco Company
216,WCA Group LLC
217,One Earth Designs Inc.
218,"Formula Plastics, Inc."
219,Unistrut International Corp.
220,Korea Advanced Institute of Science and Technology
221,The Trustees of Columbia University in the City of New York
222,Intellectual Keystone Technology LLC
223,Mitsubishi Electric Corporation
224,GLOBALFOUNDRIES Inc.
225,"Skidmore, Owings & Merrill LLP"
226,"SPC International, LLC"
227,Delavau LLC
228,Baker Hughes Incorporated
229,Starlight Energy Holdings LLC
230,"Valicor, Inc."
231,UNIVERSITY OF NORTH TEXAS
232,ConocoPhillips Company
233,Harris Corporation
234,"Suganit Systems, Inc."
235,United Technologies Corporation
236,"Nordic Technologies, Inc."
237,Rensselaer Polytechnic Institute (RPI)
238,"Rockwell Automation Technologies, Inc."
239,The Hong Kong University of Science and Technology
240,"ZENA TECHNOLOGIES, INC."
241,"Maxout Renewables, Inc."
242,"TP Solar, Inc."
243,ENERGY INDEPENDENCE OF AMERICA CORP.
244,Colorado School of Mines
245,National Education Corporation
246,Hunt Energy Enterprises LLC
247,Fianium Ltd.
248,Korea Research Institute of Bioscience and Biotechnology
249,"WiSys Technology Foundation, Inc."
250,Colorado State University Research Foundation
251,Arkema Inc.
252,Robert Bosch GmbH
253,SunCulture Solar Inc.
254,Cetac Technologies Inc.
255,"UChicago Argonne, LLC"
256,"ENI Technology, Inc."
257,"Green Solar Transportation, LLC"
258,"MicroLink Devices, Inc."
259,Renewable Opportunities Inc.
260,"API Intellectual Property Holdings, LLC"
261,"Echogen Power Systems, LLC"
262,Ricoh Company Limited
263,The United States Government as Represented by the Department of Veterans Affairs
264,The University of Houston System
265,University of South Florida
266,Thermoretinary Technologies Inc.
267,"Arpin Renewable Energy, LLC"
268,"OPTERRA ENERGY SERVICES, INC."
269,Washington State University
270,Advanced Aqua Group
271,"Locus Energy, LLC"
272,Kent State University
273,Ecole Polytechnique Federale De Lausanne
274,"SAMSUNG DISPLAY CO., LTD."
275,The University of Western Ontario
276,FLOW CONTROL LLC.
277,"Dynamic Solutions Worldwide, LLC"
278,GCP Applied Technologies Inc.
279,"FULL CIRCLE BIOCHAR, INC."
280,Industrial Technology Research Institute
281,"Arrowhead Center, Inc."
282,"Buckman Laboratories International, Inc."
283,"Planet ATE, Inc."
284,Volterra Semiconductor LLC
285,"Abengoa Bioenergy New Technologies, LLC."
286,"Inaeris Technologies, LLC"
287,"University of Maryland, Baltimore County"
288,Andritz Inc.
289,"MirTech, Inc."
290,"Lake Lite, Inc."
291,"Strategic Solar Energy, LLC"
292,ZIH Corp.
293,Korea Institute of Science and Technology
294,Gas Technology Institute
295,The Texas A&M University System
296,"Braun Intertec Geothermal, LLC"
297,"Wireless Environment, LLC"
298,E.I. du Pont de Nemours and Company
299,NanoGram Corporation
300,"Ovonic Battery Company, Inc."
301,"Schneider Electric Solar Inverters USA, Inc."
302,University of Manitoba
303,Federal Signal Corporation
304,Deployable Space Systems
305,Georgia-Pacific Gypsum LLC
306,"Babcock Power Services, Inc."
307,"Atonometrics, Inc."
308,"ASCENT SOLAR TECHNOLOGIES, INC."
309,TRIDONIC GMBH & CO KG
310,Solar-Tectic LLC
311,"Alencon Acquisition Co., LLC."
312,"Blue Sea Systems, Inc."
313,Armageddon Energy Inc.
314,"ATC Technologies, LLC"
315,Silicor Materials Inc.
316,"Big Belly Solar, Inc."
317,"Renewable Algal Energy, LLC"
