Renewable energy-All-purpose,Renewable energy-Biomass,Renewable energy-Geothermal,Renewable energy-Photovoltaic & solar,Renewable energy-Wave & Tidal,Renewable energy-Wind,id
False,False,False,True,False,False,9228722
False,False,False,True,False,False,9228761
False,False,False,True,False,False,9230709
False,False,False,True,False,False,9230747
False,False,False,True,False,False,9231061
False,False,False,True,False,False,9231125
False,False,False,True,False,False,9231128
False,False,False,True,False,False,9231129
False,False,False,True,False,False,9231130
False,False,False,True,False,False,9231132
False,False,False,True,False,False,9231136
False,False,False,True,False,False,9231139
False,False,False,True,False,False,9231140
False,False,False,True,False,False,9231142
False,False,False,True,False,False,9231143
False,False,False,True,False,False,9231145
False,False,False,True,False,False,9231147
True,False,False,False,False,False,9231267
False,False,False,True,False,False,9231335
True,False,True,True,False,False,9231405
False,False,False,True,False,False,9231422
False,False,False,True,False,False,9231437
False,False,False,True,False,False,9231518
False,False,False,True,False,False,9232290
True,False,False,False,False,False,9233616
False,False,False,True,False,False,9233746
False,False,False,True,False,False,9233930
False,False,False,True,False,False,9234119
False,False,True,False,False,False,9234125
False,True,False,False,False,False,9234140
False,True,False,False,False,False,9234167
False,True,False,False,False,False,9234216
False,True,False,False,False,False,9234221
False,True,False,False,False,False,9234222
False,True,False,False,False,False,9234224
True,False,False,False,False,False,9234501
False,False,True,False,False,False,9234507
False,False,False,True,False,False,9234680
False,False,False,True,False,False,9234681
False,False,False,True,False,False,9234843
False,False,False,True,False,False,9234933
False,False,False,True,False,False,9234934
False,False,False,True,False,False,9235236
False,False,False,True,False,False,9236194
False,False,False,True,False,False,9236195
False,False,False,True,False,False,9236503
False,False,False,True,False,False,9236505
False,False,False,True,False,False,9236506
False,False,False,True,False,False,9236509
False,False,False,True,False,False,9236513
False,False,False,True,False,False,9236515
False,False,False,True,False,False,9236516
False,False,False,True,False,False,9236517
False,False,False,True,False,False,9236553
False,False,False,True,False,False,9236637
False,False,False,True,False,False,9236638
False,False,False,False,True,False,9236646
False,False,False,True,False,False,9236751
False,False,False,True,False,False,9238413
False,False,False,True,False,False,9238509
False,True,False,False,False,False,9238583
False,False,False,True,False,False,9238598
False,True,False,False,False,False,9238779
False,True,False,False,False,False,9238783
False,True,False,False,False,False,9238792
False,True,False,False,False,False,9238827
False,True,False,False,False,False,9238845
False,False,True,False,False,False,9238851
False,False,False,True,False,False,9239171
False,False,False,True,False,False,9239272
False,False,False,True,False,False,9239444
False,False,False,True,False,False,9240112
False,False,False,True,False,False,9240338
False,False,False,True,False,False,9240499
False,False,False,True,False,False,9240500
False,False,False,True,False,False,9240501
False,False,False,True,False,False,9240504
False,False,False,True,False,False,9240507
False,False,False,True,False,False,9240508
False,False,False,True,False,False,9240509
False,False,False,True,False,False,9240510
False,False,False,True,False,False,9240515
False,False,True,False,False,False,9241426
False,True,False,False,False,False,9241471
False,False,False,True,False,False,9241600
True,False,False,False,False,False,9242205
False,True,False,False,False,False,9242222
False,False,False,True,False,False,9242554
False,True,False,False,False,False,9242881
False,True,False,False,False,False,9242907
False,True,False,False,False,False,9242912
False,True,False,False,False,False,9242913
False,True,False,False,False,False,9242915
False,True,False,False,False,False,9242952
False,True,False,False,False,False,9243128
False,True,False,False,False,False,9243303
False,False,False,True,False,False,9243340
False,True,False,False,False,False,9243364
False,False,False,True,False,False,9243609
False,False,True,True,False,False,9243616
False,False,False,True,False,False,9243816
False,False,False,True,False,False,9243818
False,False,False,True,False,False,9244261
False,False,False,True,False,False,9245663
False,False,False,True,False,False,9245692
False,False,False,True,False,False,9245758
False,False,False,True,False,False,9246025
False,False,False,True,False,False,9246026
False,False,False,True,False,False,9246027
False,False,False,True,False,False,9246028
False,False,False,True,False,False,9246029
False,False,False,True,False,False,9246030
False,False,False,True,False,False,9246032
False,False,False,True,False,False,9246033
False,False,False,True,False,False,9246034
False,False,False,True,False,False,9246039
False,False,False,True,False,False,9246040
False,False,False,True,False,False,9246042
False,False,False,True,False,False,9246046
False,False,False,True,False,False,9246104
False,False,False,True,False,False,9246106
False,False,False,True,False,False,9246115
False,False,False,True,False,False,9246331
False,False,False,True,False,False,9246334
False,False,False,True,False,False,9246354
False,False,False,True,False,False,9246397
False,False,False,True,False,False,9246433
False,False,False,False,True,False,9247992
False,False,False,True,False,False,9249016
False,True,False,False,False,False,9249018
False,True,False,True,False,False,9249026
True,False,False,False,False,False,9249064
False,True,False,False,False,False,9249235
False,False,False,True,False,False,9249319
False,True,False,False,False,False,9249358
