patent_id,NAICS_CODES
9548167,325199N~325211N~325510N~325998N~424690N~541712E
9548167,
9204624,325412N~541711N
9206261,325412N~541711N
9206262,325412N~541711N
9206263,325412N~541711N
9221894,325412N~541711N
9226484,325412N~541711N
9228208,325412N~541711N
9232776,325412N~541711N
9267152,325412N~541711N
9301509,325412N~541711N
9301510,325412N~541711N
9315843,325412N~541711N
9332742,325412N~541711N
9334333,325412N~541711N
9334334,325412N~541711N
9353394,325412N~541711N
9371553,325412N~541711N
9376699,325412N~541711N
9382567,325412N~541711N
9388446,325412N~541711N
9394373,325412N~541711N
9399683,325412N~541711N
9410163,325412N~541711N
9462794,325412N~541711N
9474255,325412N~541711N
9510569,325412N~541711N
9516868,325412N~541711N
9528136,325412N~541711N
9540452,325412N~541711N
9546384,325412N~541711N
9554563,325412N~541711N
9554564,325412N~541711N
9585373,325412N~541711N
9205177,
9206248,325412N~325414N
9206396,561499N
9206439,561499N
9217145,561499N
9279103,561499N
9279107,561499N
9469864,561499N
9506088,561499N
9545423,561499N
9580693,561499N
9206397,541711N~541712E
9206397,541711N~541712E
9347102,541711N~541712E
9347102,541711N~541712E
9206436,518210N~541330E~541511N~541512N~541513N~541611N~541618N~541620N~541690N~541711N~541712E~541720N~927110N~928110N
9466853,518210N~541330E~541511N~541512N~541513N~541611N~541618N~541620N~541690N~541711N~541712E~541720N~927110N~928110N
9206443,
9206445,541711N~541712E
9208273,334413N~511210N
9208273,334413N~511210N~541512N
9209494,541330E~541512N~541690N~541711N~541712E~541720N~541990N
9340436,541330E~541512N~541690N~541711N~541712E~541720N~541990N
9583796,541330E~541512N~541690N~541711N~541712E~541720N~541990N
9211307,541330E~541690N~541711N~541712E~541720N~611310N
9212142,541711N~541712E~541720N
9212142,611310N
9212142,611310N
9381164,541711N~541712E~541720N
9381164,611310N
9381164,611310N
9566365,541711N~541712E~541720N
9566365,611310N
9566365,611310N
9212142,541711Y
9212353,541711Y
9212397,325413Y~541380Y~621410Y~621498Y~621511Y~622210Y~622310Y~624190Y
9216155,541611N~541711N~541712E~541720N~611310N
9216155,541712E~611310N
9237889,541611N~541711N~541712E~541720N~611310N
9237889,541712E~611310N
9340792,541611N~541711N~541712E~541720N~611310N
9340792,541712E~611310N
9518106,541611N~541711N~541712E~541720N~611310N
9518106,541712E~611310N
9528137,541611N~541711N~541712E~541720N~611310N
9528137,541712E~611310N
9585975,541611N~541711N~541712E~541720N~611310N
9585975,541712E~611310N
9217020,541712E
9353382,541712E
9217129,541711N~541712E~927110N~928110N
9217129,541712E~611310N
9249387,541711N~541712E~927110N~928110N
9249387,541712E~611310N
9261496,541711N~541712E~927110N~928110N
9261496,541712E~611310N
9284570,541711N~541712E~927110N~928110N
9284570,541712E~611310N
9333097,541711N~541712E~927110N~928110N
9333097,541712E~611310N
9370551,541711N~541712E~927110N~928110N
9370551,541712E~611310N
9382210,541711N~541712E~927110N~928110N
9382210,541712E~611310N
9404924,541711N~541712E~927110N~928110N
9404924,541712E~611310N
9410142,541711N~541712E~927110N~928110N
9410142,541712E~611310N
9422373,541711N~541712E~927110N~928110N
9422373,541712E~611310N
9458357,541711N~541712E~927110N~928110N
9458357,541712E~611310N
9480404,541711N~541712E~927110N~928110N
9480404,541712E~611310N
9487808,541711N~541712E~927110N~928110N
9487808,541712E~611310N
9528082,541711N~541712E~927110N~928110N
9528082,541712E~611310N
9539117,541711N~541712E~927110N~928110N
9539117,541712E~611310N
9217173,334516N~423450N~541711N
9218176,334111N~334112N~334290N~334418N~334613N~423430N~541512N~541513N~541519E~541614N~541618N
9218176,541519E
9218176,238220N~334111N~334112N~511210N~541380N~541511N~541512N~541513N~541519E~561990N~611420N~611430N~611710N
9218176,334111N~541712E
9218176,334111N~511210N~541519E
9218176,541614N
9218176,238220N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
9218176,541712E
9218176,334413N
9218176,518210N
9218176,334111N~334112N~334118N~334290N~334413N~423430N~511210N~518210N~522220N~541219N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541990N~561210N~611420N~611710N~811212N~811213N
9218176,334111N~518210N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541990N~611420N~611710N
9218176,238220N~334111N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
9218176,238220N~334111N~511210N~518210N~541219N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541910N~541990N~561210N~561422N~561621N~561990N~611420N~611430N~611710N~811212N
9218176,334111N~334112N~334220N~541511N~541512N~541513N~541519E~611420N~611710N
9218176,334111N~518210N~541511N~541512N~541513N~541519E
9256851,334111N~334112N~334290N~334418N~334613N~423430N~541512N~541513N~541519E~541614N~541618N
9256851,541519E
9256851,238220N~334111N~334112N~511210N~541380N~541511N~541512N~541513N~541519E~561990N~611420N~611430N~611710N
9256851,334111N~541712E
9256851,334111N~511210N~541519E
9256851,541614N
9256851,238220N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
9256851,541712E
9256851,334413N
9256851,518210N
9256851,334111N~334112N~334118N~334290N~334413N~423430N~511210N~518210N~522220N~541219N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541990N~561210N~611420N~611710N~811212N~811213N
9256851,334111N~518210N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541990N~611420N~611710N
9256851,238220N~334111N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
9256851,238220N~334111N~511210N~518210N~541219N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541910N~541990N~561210N~561422N~561621N~561990N~611420N~611430N~611710N~811212N
9256851,334111N~334112N~334220N~541511N~541512N~541513N~541519E~611420N~611710N
9256851,334111N~518210N~541511N~541512N~541513N~541519E
9262737,334111N~334112N~334290N~334418N~334613N~423430N~541512N~541513N~541519E~541614N~541618N
9262737,541519E
9262737,238220N~334111N~334112N~511210N~541380N~541511N~541512N~541513N~541519E~561990N~611420N~611430N~611710N
9262737,334111N~541712E
9262737,334111N~511210N~541519E
9262737,541614N
9262737,238220N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
9262737,541712E
9262737,334413N
9262737,518210N
9262737,334111N~334112N~334118N~334290N~334413N~423430N~511210N~518210N~522220N~541219N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541990N~561210N~611420N~611710N~811212N~811213N
9262737,334111N~518210N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541990N~611420N~611710N
9262737,238220N~334111N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
9262737,238220N~334111N~511210N~518210N~541219N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541910N~541990N~561210N~561422N~561621N~561990N~611420N~611430N~611710N~811212N
9262737,334111N~334112N~334220N~541511N~541512N~541513N~541519E~611420N~611710N
9262737,334111N~518210N~541511N~541512N~541513N~541519E
9304752,334111N~334112N~334290N~334418N~334613N~423430N~541512N~541513N~541519E~541614N~541618N
9304752,541519E
