patent_id,assignee_id,id,type,name_first,name_last,organization,compare_organization,DUNS,DUNS4,CAGE_CODE,DODAAC,LEGAL_BUSINESS_NAME,DBA_NAME,PHYSICAL_ADDRESS_LINE_1,PHYSICAL_ADDRESS_LINE_2,PHYSICAL_ADDRESS_CITY,PHYSICAL_ADDRESS_PROVINCE_OR_STATE,PHYSICAL_ADDRESS_ZIP,PHYSICAL_ADDRESS_ZIP4,PHYSICAL_ADDRESS_COUNTRY_CODE,ENTITY_CONGRESSIONAL_DISTRICT,CORPORATE_URL,ENTITY_STRUCTURE,STATE_OF INC,COUNTRY_OF_INC,BUSINESS_TYPE_COUNTER,BUSINESS_TYPES,PRIMARY_NAICS,NAICS_CODE_COUNTER,NAICS_CODES,PSC_CODE_COUNTER,PSC_CODES,SBA_BUSINESS_TYPES_COUNTER,SBA_BUSINESS_TYPES,compare_lbn,compare_dban
8790267,d4fee62393143a5aca5fbde260838103,d4fee62393143a5aca5fbde260838103,2.0,,,"Cheetah Medical, Inc.","cheetah medical, inc.",807822189,,5LGA2,,"CHEETAH MEDICAL, INC.",CHEETAH MEDICAL HOLDING,600 SE MARITIME AVE STE 220,,VANCOUVER,WA,98661.0,8042.0,USA,3.0,,2L,DE,USA,2.0,2X~VW,334510.0,1.0,334510Y,0.0,,0.0,,"cheetah medical, inc.",cheetah medical holding
6902453,19052b2373633ea278b2777420c9917a,19052b2373633ea278b2777420c9917a,2.0,,,"Switlik Parachute Company, Inc.","switlik parachute company, inc.",2354165,,78673,,"SWITLIK PARACHUTE COMPANY, INC.",SWITLIK SURVIVAL PRODUCTS,1325 E STATE ST,,TRENTON,NJ,8609,1615.0,USA,4.0,,2L,NJ,USA,2.0,2X~MF,326299.0,5.0,315220Y~315240Y~326299Y~336612Y~339113Y,0.0,,0.0,,"switlik parachute company, inc.",switlik survival products
8976366,06db52e5a617e2fae2ade189ca302238,06db52e5a617e2fae2ade189ca302238,2.0,,,"Zeta Instruments, Inc.","zeta instruments, inc.",101751787,,6FVS2,,"ZETA INSTRUMENTS, INC.",,2528 QUME DR STE 12,,SAN JOSE,CA,95131.0,1836.0,USA,17.0,,2L,DE,USA,5.0,23~2X~FR~MF~VW,333314.0,1.0,333314Y,1.0,6650,0.0,,"zeta instruments, inc.",
4456227,601fbf9d9497c333ef9357d3abff700e,601fbf9d9497c333ef9357d3abff700e,2.0,,,"Genie Industries, Inc.","genie industries, inc.",884175428,,7DM84,,"GENIE INDUSTRIES, INC.",GENIE INDUSTRIES,8987 GRAHAM RD NE,,MOSES LAKE,WA,98837,9334.0,USA,4.0,,2L,DE,USA,2.0,2X~MF,333120.0,2.0,333120Y~333999N,2.0,3895~6210,0.0,,"genie industries, inc.",genie industries
9205769,50bc62aed09e5d6b385a5f12537f1a45,50bc62aed09e5d6b385a5f12537f1a45,2.0,,,"Moor Innovative Technologies, LLC","moor innovative technologies, llc",99208444,,1NEQ0,,"MOOR INNOVATIVE TECHNOLOGIES, LLC",,4812 64TH ST E,,TACOMA,WA,98443.0,2345.0,USA,10.0,,2L,WA,USA,3.0,27~2X~MF,315220.0,4.0,315210Y~315220Y~315990Y~339113Y,1.0,8470,0.0,,"moor innovative technologies, llc",
8511437,099f9a6f5d42a06272700f6949859a2a,099f9a6f5d42a06272700f6949859a2a,2.0,,,Hollister-Whitney Elevator Corp.,hollister-whitney elevator corp.,6282214,,66414,,HOLLISTER-WHITNEY ELEVATOR CORP.,,2603 N 24TH ST,,QUINCY,IL,62305,1215.0,USA,18.0,,2L,IL,USA,3.0,2X~MF~XS,333921.0,1.0,333921Y,1.0,3960,0.0,,hollister-whitney elevator corp.,
8107211,61d5f44a030c593429ea177c5842efd0,61d5f44a030c593429ea177c5842efd0,2.0,,,"Advanced Magnet Lab, Inc.","advanced magnet lab, inc.",943748681,,1M4V4,,"ADVANCED MAGNET LAB, INC.",ADVANCED MAGNET LAB,1720 MAIN ST NE BLDG 4,,PALM BAY,FL,32905,3427.0,USA,8.0,,2L,FL,USA,3.0,2X~MF~VW,334510.0,7.0,334510Y~334516Y~335931Y~335999Y~336415Y~339113Y~541712E,5.0,AC22~AC24~AJ94~AR12~R425,0.0,,"advanced magnet lab, inc.",advanced magnet lab
8134132,d74e8cc3a83a706887be27406998a709,d74e8cc3a83a706887be27406998a709,2.0,,,Dymax Corporation,dymax corporation,98114598,,46733,,DYMAX CORPORATION,,318 INDUSTRIAL LN,,TORRINGTON,CT,6790.0,7709.0,USA,1.0,,2L,DE,USA,2.0,2X~MF,325520.0,1.0,325520Y,1.0,8040,0.0,,dymax corporation,
8017011,5f161825f4d5b9c48d10782b00e99171,5f161825f4d5b9c48d10782b00e99171,2.0,,,Kaydon Custom Filtration Corporation,kaydon custom filtration corporation,784247129,,53964,,KAYDON CUSTOM FILTRATION CORPORATION,,1571 LUKKEN INDUSTRIAL DR W,,LAGRANGE,GA,30240.0,5757.0,USA,3.0,,2L,DE,USA,2.0,2X~MF,333999.0,2.0,333999N~336390Y,0.0,,0.0,,kaydon custom filtration corporation,
8114291,5f161825f4d5b9c48d10782b00e99171,5f161825f4d5b9c48d10782b00e99171,2.0,,,Kaydon Custom Filtration Corporation,kaydon custom filtration corporation,784247129,,53964,,KAYDON CUSTOM FILTRATION CORPORATION,,1571 LUKKEN INDUSTRIAL DR W,,LAGRANGE,GA,30240.0,5757.0,USA,3.0,,2L,DE,USA,2.0,2X~MF,333999.0,2.0,333999N~336390Y,0.0,,0.0,,kaydon custom filtration corporation,
