,Renewable energy-All-purpose,Renewable energy-Biomass,Renewable energy-Geothermal,Renewable energy-Photovoltaic & solar,Renewable energy-Wave & Tidal,Renewable energy-Wind
False,1513,1152,1524,530,1554,1557
True,63,424,52,1046,22,19
