,Emerging low carbon-Additional energy sources,Emerging low carbon-All-purpose,Emerging low carbon-Alternative fuel,Emerging low carbon-Alternative fuel vehicle,Emerging low carbon-Battery,Emerging low carbon-Building technologies,Emerging low carbon-Carbon capture & storage,Emerging low carbon-Electrochemical processes,Emerging low carbon-Energy management,Environmental-Air pollution,Environmental-All-purpose,Environmental-Biological treatment,Environmental-Contaminated land reclamation & remediation,"Environmental-Environmental monitoring, instrumentation and analysis",Environmental-Marine pollution control,Environmental-Noise & vibration control,Environmental-Recovery and recycling,Environmental-Waste management,Environmental-Water supply & waste water treatment,General-,Renewable energy-All-purpose,Renewable energy-Biomass,Renewable energy-Geothermal,Renewable energy-Photovoltaic & solar,Renewable energy-Wave & Tidal,Renewable energy-Wind
False,1023861,956423,994002,956625,971462,1017184,1011335,986593,337685,1023781,876218,1023798,1023877,1023875,1024120,1014558,1009401,1002238,1024110,1019420,1023764,1021143,1023528,1015239,1022072,1021599
True,264,67702,30123,67500,52663,6941,12790,37532,686440,344,147907,327,248,250,5,9567,14724,21887,15,4705,361,2982,597,8886,2053,2526
